0,"{'subject': 'Notes', 'relation': 'is', 'object': 'version'}"
1,"{'subject': 'Side 1', 'relation': 'include', 'object': '"Mae" – 2:27'}"
2,"{'subject': 'Side 2', 'relation': 'Sing', 'object': '2:34'}"
3,"{'subject': 'Side 2', 'relation': 'include', 'object': '"Mae" – 2:27'}"
4,"{'subject': 'Side 2', 'relation': 'Sing', 'object': '2:34'}"
5,"{'subject': 'Side one', 'relation': 'include', 'object': '"Central Theme" (Taylor)'}"
6,"{'subject': 'Side one', 'relation': 'include', 'object': '(Taylor)'}"
7,"{'subject': 'Side one', 'relation': 'include', 'object': '"Big Time/Big Deal" (Taylor)'}"
8,"{'subject': 'Side one', 'relation': 'include', 'object': '"Props" (Taylor)'}"
9,"{'subject': 'Side one', 'relation': 'include', 'object': '"My Room" (Taylor)'}"
10,"{'subject': 'Side one', 'relation': 'include', 'object': '"Faces To The Window" (Taylor)'}"
11,"{'subject': 'Side one', 'relation': 'include', 'object': '"Cloak & Dagger" (Taylor, Chamberlain)'}"
12,"{'subject': 'Side two', 'relation': 'include', 'object': '"C & D Reprise" (Taylor, Chamberlain)'}"
13,"{'subject': 'Side two', 'relation': 'include', 'object': '"Through The Speakers" (Taylor)'}"
14,"{'subject': 'Side two', 'relation': 'include', 'object': '"Baby Game" (Taylor)'}"
15,"{'subject': 'Side two', 'relation': 'include', 'object': '"Endless Summer" (Taylor, Chamberlain)'}"
16,"{'subject': 'Side two', 'relation': 'include', 'object': '"Walls Of Doubt" (Taylor)'}"
17,"{'subject': 'Side two', 'relation': 'include', 'object': '"Ghost Of The Heart" (Taylor)'}"
18,"{'subject': 'Deluxe edition bonus disc', 'relation': 'include', 'object': '"Little Things" (demo)'}"
19,"{'subject': 'Deluxe edition bonus disc', 'relation': 'include', 'object': '"Off My Mind" (demo)'}"
20,"{'subject': 'Deluxe edition bonus disc', 'relation': 'include', 'object': '"No Spaceship" (demo)'}"
21,"{'subject': 'Deluxe edition bonus disc', 'relation': 'include', 'object': '"Out Of Town" (demo)'}"
22,"{'subject': 'Deluxe edition bonus disc', 'relation': 'include', 'object': '"Only One" (demo)'}"
23,"{'subject': 'Deluxe edition bonus disc', 'relation': 'include', 'object': '"Central Theme" (demo)'}"
24,"{'subject': 'Deluxe edition bonus disc', 'relation': 'include', 'object': '"My Room" (demo)'}"
25,"{'subject': 'Deluxe edition bonus disc', 'relation': 'include', 'object': '"Faces To The Window" (demo)'}"
26,"{'subject': 'Deluxe edition bonus disc', 'relation': 'include', 'object': '"Through The Speakers" (demo)'}"
27,"{'subject': 'Deluxe edition bonus disc', 'relation': 'include', 'object': '"Endless Summer" (demo)'}"
