3,"Argentine National Anthem" (instrumental),include,file
3,"Argentine National Anthem" (instrumental),include,help
0,"Dirty Talk" — 3:16,include,Dirty Talk Remixes EP (1)
3,"National anthem of Colombia" (instrumental),include,file
3,"National anthem of Colombia" (instrumental),include,help
0,(Breakage's Tight Rope remix),include,Del Naja
0,(Breakage's Tight Rope remix),include,Marshall
0,(Breakage's Tight Rope remix),include,Sandoval
0,(Breakage's Tight Rope remix),include,Jackson
0,(Breakage's Tight Rope remix),include,Brown
1,(German Version),include,B. Wilson
1,(German Version),include,Usher
3,(Live at Liverpool Echo Arena)Stephen Large,replaces,original
3,(Live at Liverpool Echo Arena)Stephen Large,is known as,Mix
0,(Ryuichi Sakamoto & Yukihiro Takahashi remix),include,Del Naja
0,(Ryuichi Sakamoto & Yukihiro Takahashi remix),include,Marshall
0,(Ryuichi Sakamoto & Yukihiro Takahashi remix),include,Davidge
0,(Ryuichi Sakamoto & Yukihiro Takahashi remix),include,Garvey
0,(Single Version),include,B. Wilson
0,(Theme tune),include,Skit: Antique Quiz
0,(Theme tune),include,Fishpaste(?)
0,(Theme tune),include,Skit: Fire and Brimstone Weather Report
0,(Theme tune),include,Play: "Dentisti"
0,(live in-studio version),include,Cole
0,(live in-studio version),include,Lifehouse
0,(new Signature Tune: Tango),include,Skit: Wales Travelogue Documentary
0,(new Signature Tune: Tango),include,Skit: Operating Theatre
2,(new Signature Tune: Tango),'m Gon,Live
0,(new Signature Tune: Tango),include,Play: "All Hands on Venus" (future)
3,1500m/Mile,include,1965 – 4
3,1500m/Mile,include,1966 – 1
3,1500m/Mile,include,1967 – 1
3,1500m/Mile,include,1968 – 2
3,1500m/Mile,include,1969 – 7
3,1500m/Mile,include,1971 – 6
3,1500m/Mile,include,1972 – 9
0,1996,include,Label: independent
0,2000,include,Label: Accident Prone
0,2001 0,Cast,include,Agustín Figueroa – Juan Marchetti
0,2001 0,Cast,include,Micaela Linares – Celina Echague
0,2001 0,Cast,include,Cintia Díaz – Eleonora Aruzzi de Marchetti
0,2001 0,Cast,include,Santiago Acosta – Juan Marchetti (child)
0,2005,include,Label: War Torn Records
0,7" vinyl,include,RCA / PB 11121
1,A preliminary classification of the !Xũũ and Žuǀ'hõasi dialects by Snyman (1997):,is bounded by,Omuramba Otjozondjou
1,A preliminary classification of the !Xũũ and Žuǀ'hõasi dialects by Snyman (1997):,is spoken from,Omuramba Otjozondjou
1,A preliminary classification of the !Xũũ and Žuǀ'hõasi dialects by Snyman (1997):,occurs,south of Okavango river from Rupara south eastward to Ncaute
1,A preliminary classification of the !Xũũ and Žuǀ'hõasi dialects by Snyman (1997):,consists of,northern dialect probably stretching southwards up
1,A preliminary classification of the !Xũũ and Žuǀ'hõasi dialects by Snyman (1997):,extending,southwards
1,A preliminary classification of the !Xũũ and Žuǀ'hõasi dialects by Snyman (1997):,include,the Omambonde Klein Omatako and Gunib.
1,A preliminary classification of the !Xũũ and Žuǀ'hõasi dialects by Snyman (1997):,are spoken in,area about 40 km wide
1,A preliminary classification of the !Xũũ and Žuǀ'hõasi dialects by Snyman (1997):,is in,Westhpal
1,A preliminary classification of the !Xũũ and Žuǀ'hõasi dialects by Snyman (1997):,was,Haillom territory
1,A preliminary classification of the !Xũũ and Žuǀ'hõasi dialects by Snyman (1997):,lies on,watershed between Omatako
1,A preliminary classification of the !Xũũ and Žuǀ'hõasi dialects by Snyman (1997):,is,found
1,A preliminary classification of the !Xũũ and Žuǀ'hõasi dialects by Snyman (1997):,is restricted to,eastern part
1,A preliminary classification of the !Xũũ and Žuǀ'hõasi dialects by Snyman (1997):,occurs in,areas
1,A preliminary classification of the !Xũũ and Žuǀ'hõasi dialects by Snyman (1997):,clearly forms,transition
1,A preliminary classification of the !Xũũ and Žuǀ'hõasi dialects by Snyman (1997):,presumably belonged in,area between rivers
0,AMCL 0,Awards,include,1987: Vocalista Masculino del Año
0,AMCL 0,Awards,include,1988: Artista del Año
0,AMCL 0,Awards,include,1989: Artista del Año
0,AMCL 0,Awards,include,1991: Tu y yo – Álbum Tradicional o popular del Año
0,AMCL 0,Awards,include,1992: Cuan Hermoso – Canción del Año
0,AMCL 0,Awards,include,1992: Te Anhelo – Álbum del Año
0,AMCL 0,Awards,include,1992: Productor del Año
0,AMCL 0,Awards,include,1995: Compositor del Año
0,AMCL 0,Awards,include,1995: Productor del Año
0,AMCL 0,Awards,include,1992: Venció – Álbum en Vivo del Año
0,AMCL 0,Awards,include,1999: Enciende una Luz – Álbum del Año
0,AMCL 0,Awards,include,1999: Productor del Año
0,AMCL 0,Awards,include,1999: Enciende una Luz – Videoclip del Año
0,AMCL 0,Awards,include,2001: El Volvera – Álbum en Vivo del Año
